Country,Year,Industry,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Top AI Tools Used,Regulation Status,Consumer Trust in AI (%),Market Share of AI Companies (%),AI Impact Description,yearly_change_%,is_growing_trend,impact_summary,text_profile
Germany,2021,Marketing,81.18,3.56,33.94,68.33,76.84,Claude,Lenient,41.73,39.04,No description available.,139.39840754939553,False,"Industry: Marketing, Year: 2021, AI Adoption Rate: 81.18%, Description: No description available.","In 2021, within the Marketing sector, the AI usage reached 81.18%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 139.39840754939553% change. The trend is currently declining."
South Korea,2021,Marketing,44.99,7.7,18.15,52.91,80.25,ChatGPT,Moderate,32.02,48.91,No description available.,-44.579945799457995,False,"Industry: Marketing, Year: 2021, AI Adoption Rate: 44.99%, Description: No description available.","In 2021, within the Marketing sector, the AI usage reached 44.99%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -44.579945799457995% change. The trend is currently declining."
USA,2021,Marketing,56.81,56.52,15.98,69.17,51.21,Midjourney,Lenient,54.41,20.22,No description available.,26.272505001111355,False,"Industry: Marketing, Year: 2021, AI Adoption Rate: 56.81%, Description: No description available.","In 2021, within the Marketing sector, the AI usage reached 56.81%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 26.272505001111355% change. The trend is currently declining."
UK,2022,Marketing,73.89,16.63,47.25,68.91,60.15,ChatGPT,Strict,34.4,27.19,No description available.,30.06512937863053,False,"Industry: Marketing, Year: 2022, AI Adoption Rate: 73.89%, Description: No description available.","In 2022, within the Marketing sector, the AI usage reached 73.89%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 30.06512937863053% change. The trend is currently declining."
Japan,2023,Marketing,12.86,5.08,18.5,20.65,75.67,DALL-E,Lenient,38.35,5.25,No description available.,-82.595750439843,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 12.86%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 12.86%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -82.595750439843% change. The trend is currently declining."
South Korea,2023,Marketing,74.81,54.67,22.3,52.34,84.8,Stable Diffusion,Lenient,42.06,11.7,No description available.,481.72628304821154,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 74.81%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 74.81%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 481.72628304821154% change. The trend is currently declining."
Germany,2023,Marketing,20.95,26.53,5.89,2.28,47.14,ChatGPT,Strict,82.45,44.86,No description available.,-71.99572249699237,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 20.95%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 20.95%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -71.99572249699237% change. The trend is currently declining."
Japan,2023,Marketing,72.59,51.37,40.3,3.84,72.92,Claude,Moderate,76.92,27.59,No description available.,246.491646778043,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 72.59%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 72.59%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 246.491646778043% change. The trend is currently declining."
Australia,2023,Marketing,18.43,7.44,2.75,12.96,54.31,ChatGPT,Moderate,73.34,6.21,No description available.,-74.61082793773247,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 18.43%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 18.43%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -74.61082793773247% change. The trend is currently declining."
France,2023,Marketing,65.77,49.83,39.94,79.44,43.73,Synthesia,Lenient,81.58,14.62,No description available.,256.8638090070537,False,"Industry: Marketing, Year: 2023, AI Adoption Rate: 65.77%, Description: No description available.","In 2023, within the Marketing sector, the AI usage reached 65.77%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 256.8638090070537% change. The trend is currently declining."
India,2024,Marketing,55.3,67.76,3.21,11.15,48.72,Synthesia,Strict,58.79,45.09,No description available.,-15.919112057168917,False,"Industry: Marketing, Year: 2024, AI Adoption Rate: 55.3%, Description: No description available.","In 2024, within the Marketing sector, the AI usage reached 55.3%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -15.919112057168917% change. The trend is currently declining."
USA,2024,Marketing,32.0,44.26,0.09,40.67,32.98,Bard,Strict,60.99,22.31,No description available.,-42.13381555153707,False,"Industry: Marketing, Year: 2024, AI Adoption Rate: 32.0%, Description: No description available.","In 2024, within the Marketing sector, the AI usage reached 32.0%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -42.13381555153707% change. The trend is currently declining."
Japan,2024,Marketing,88.16,14.83,2.86,26.45,47.53,DALL-E,Moderate,59.28,20.74,No description available.,175.5,False,"Industry: Marketing, Year: 2024, AI Adoption Rate: 88.16%, Description: No description available.","In 2024, within the Marketing sector, the AI usage reached 88.16%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 175.5% change. The trend is currently declining."
France,2025,Marketing,62.94,7.49,22.4,71.69,63.54,Stable Diffusion,Lenient,44.26,41.99,No description available.,-28.6070780399274,False,"Industry: Marketing, Year: 2025, AI Adoption Rate: 62.94%, Description: No description available.","In 2025, within the Marketing sector, the AI usage reached 62.94%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -28.6070780399274% change. The trend is currently declining."
USA,2025,Marketing,45.3,42.81,3.03,24.96,78.13,Bard,Moderate,66.28,10.51,No description available.,-28.026692087702575,False,"Industry: Marketing, Year: 2025, AI Adoption Rate: 45.3%, Description: No description available.","In 2025, within the Marketing sector, the AI usage reached 45.3%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -28.026692087702575% change. The trend is currently declining."
Canada,2025,Marketing,78.43,84.82,26.41,4.72,33.28,Synthesia,Moderate,64.49,45.04,No description available.,73.1346578366446,False,"Industry: Marketing, Year: 2025, AI Adoption Rate: 78.43%, Description: No description available.","In 2025, within the Marketing sector, the AI usage reached 78.43%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 73.1346578366446% change. The trend is currently declining."
France,2020,Media,20.47,1.61,2.43,31.04,52.49,Stable Diffusion,Strict,35.8,24.29,No description available.,,False,"Industry: Media, Year: 2020, AI Adoption Rate: 20.47%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 20.47%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
India,2020,Media,43.55,14.89,13.87,41.09,37.81,ChatGPT,Moderate,86.44,35.3,No description available.,112.75036638983877,False,"Industry: Media, Year: 2020, AI Adoption Rate: 43.55%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 43.55%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 112.75036638983877% change. The trend is currently declining."
USA,2020,Media,27.5,23.67,2.21,56.52,60.77,Claude,Strict,36.75,12.56,No description available.,-36.854190585533864,False,"Industry: Media, Year: 2020, AI Adoption Rate: 27.5%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 27.5%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -36.854190585533864% change. The trend is currently declining."
China,2020,Media,43.22,52.8,43.2,51.15,51.23,Bard,Moderate,60.89,33.4,No description available.,57.16363636363635,False,"Industry: Media, Year: 2020, AI Adoption Rate: 43.22%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 43.22%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 57.16363636363635% change. The trend is currently declining."
Germany,2020,Media,34.28,76.54,26.52,68.89,61.67,ChatGPT,Lenient,57.88,35.63,No description available.,-20.684868116612677,False,"Industry: Media, Year: 2020, AI Adoption Rate: 34.28%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 34.28%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -20.684868116612677% change. The trend is currently declining."
Japan,2020,Media,34.27,4.19,28.58,23.4,24.04,Claude,Lenient,87.03,39.95,No description available.,-0.029171528588090023,False,"Industry: Media, Year: 2020, AI Adoption Rate: 34.27%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 34.27%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -0.029171528588090023% change. The trend is currently declining."
China,2020,Media,35.22,84.15,20.44,73.08,65.49,Synthesia,Lenient,48.02,22.55,No description available.,2.77210388094542,False,"Industry: Media, Year: 2020, AI Adoption Rate: 35.22%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 35.22%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 2.77210388094542% change. The trend is currently declining."
France,2020,Media,55.19,41.06,29.26,51.9,49.04,ChatGPT,Moderate,50.12,46.08,No description available.,56.70073821692221,False,"Industry: Media, Year: 2020, AI Adoption Rate: 55.19%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 55.19%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 56.70073821692221% change. The trend is currently declining."
Germany,2020,Media,70.11,28.26,27.62,57.86,58.71,DALL-E,Strict,78.74,31.73,No description available.,27.03388294980975,True,"Industry: Media, Year: 2020, AI Adoption Rate: 70.11%, Description: No description available.","In 2020, within the Media sector, the AI usage reached 70.11%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 27.03388294980975% change. The trend is currently growing."
France,2021,Media,42.53,44.38,8.99,49.69,47.11,Synthesia,Moderate,55.15,46.58,No description available.,-39.33818285551276,False,"Industry: Media, Year: 2021, AI Adoption Rate: 42.53%, Description: No description available.","In 2021, within the Media sector, the AI usage reached 42.53%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -39.33818285551276% change. The trend is currently declining."
Japan,2021,Media,76.22,56.66,15.67,38.03,33.05,Midjourney,Lenient,74.86,49.08,No description available.,79.21467199623795,False,"Industry: Media, Year: 2021, AI Adoption Rate: 76.22%, Description: No description available.","In 2021, within the Media sector, the AI usage reached 76.22%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 79.21467199623795% change. The trend is currently declining."
China,2021,Media,85.09,40.12,34.67,50.96,43.18,Midjourney,Moderate,61.28,25.64,No description available.,11.637365520860676,False,"Industry: Media, Year: 2021, AI Adoption Rate: 85.09%, Description: No description available.","In 2021, within the Media sector, the AI usage reached 85.09%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 11.637365520860676% change. The trend is currently declining."
Australia,2021,Media,57.44,74.71,25.91,47.8,82.92,DALL-E,Strict,49.17,43.77,No description available.,-32.495005288518044,False,"Industry: Media, Year: 2021, AI Adoption Rate: 57.44%, Description: No description available.","In 2021, within the Media sector, the AI usage reached 57.44%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -32.495005288518044% change. The trend is currently declining."
Germany,2021,Media,40.8,42.29,21.03,62.27,21.16,Bard,Lenient,77.31,12.95,No description available.,-28.96935933147633,False,"Industry: Media, Year: 2021, AI Adoption Rate: 40.8%, Description: No description available.","In 2021, within the Media sector, the AI usage reached 40.8%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -28.96935933147633% change. The trend is currently declining."
South Korea,2022,Media,44.29,33.09,16.77,46.12,74.79,Bard,Strict,40.77,18.73,No description available.,8.553921568627466,False,"Industry: Media, Year: 2022, AI Adoption Rate: 44.29%, Description: No description available.","In 2022, within the Media sector, the AI usage reached 44.29%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 8.553921568627466% change. The trend is currently declining."
France,2022,Media,49.97,5.59,22.61,17.55,34.97,Synthesia,Lenient,78.71,27.6,No description available.,12.824565364642137,False,"Industry: Media, Year: 2022, AI Adoption Rate: 49.97%, Description: No description available.","In 2022, within the Media sector, the AI usage reached 49.97%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 12.824565364642137% change. The trend is currently declining."
China,2022,Media,26.27,38.13,21.79,3.37,65.36,Midjourney,Lenient,54.57,38.02,No description available.,-47.42845707424455,False,"Industry: Media, Year: 2022, AI Adoption Rate: 26.27%, Description: No description available.","In 2022, within the Media sector, the AI usage reached 26.27%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -47.42845707424455% change. The trend is currently declining."
India,2022,Media,68.39,34.74,1.41,68.0,35.05,Stable Diffusion,Strict,88.43,34.83,No description available.,160.33498287019415,False,"Industry: Media, Year: 2022, AI Adoption Rate: 68.39%, Description: No description available.","In 2022, within the Media sector, the AI usage reached 68.39%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 160.33498287019415% change. The trend is currently declining."
Japan,2022,Media,20.14,3.7,20.68,52.01,37.02,Midjourney,Moderate,81.94,43.92,No description available.,-70.55125018277526,False,"Industry: Media, Year: 2022, AI Adoption Rate: 20.14%, Description: No description available.","In 2022, within the Media sector, the AI usage reached 20.14%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -70.55125018277526% change. The trend is currently declining."
Australia,2023,Media,68.23,6.14,6.2,53.13,53.16,Claude,Moderate,71.6,15.26,No description available.,238.7785501489573,False,"Industry: Media, Year: 2023, AI Adoption Rate: 68.23%, Description: No description available.","In 2023, within the Media sector, the AI usage reached 68.23%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 238.7785501489573% change. The trend is currently declining."
France,2023,Media,88.41,5.34,36.07,13.78,36.24,Synthesia,Moderate,58.85,35.86,No description available.,29.576432654257644,False,"Industry: Media, Year: 2023, AI Adoption Rate: 88.41%, Description: No description available.","In 2023, within the Media sector, the AI usage reached 88.41%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 29.576432654257644% change. The trend is currently declining."
Japan,2023,Media,71.57,72.4,18.28,49.83,32.73,Claude,Moderate,42.97,28.45,No description available.,-19.047619047619058,False,"Industry: Media, Year: 2023, AI Adoption Rate: 71.57%, Description: No description available.","In 2023, within the Media sector, the AI usage reached 71.57%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -19.047619047619058% change. The trend is currently declining."
Japan,2023,Media,27.61,14.49,35.67,18.49,42.88,Claude,Strict,30.12,42.23,No description available.,-61.422383680312976,False,"Industry: Media, Year: 2023, AI Adoption Rate: 27.61%, Description: No description available.","In 2023, within the Media sector, the AI usage reached 27.61%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -61.422383680312976% change. The trend is currently declining."
Canada,2023,Media,61.49,17.53,48.25,20.74,47.72,DALL-E,Moderate,87.9,29.32,No description available.,122.70916334661356,False,"Industry: Media, Year: 2023, AI Adoption Rate: 61.49%, Description: No description available.","In 2023, within the Media sector, the AI usage reached 61.49%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 122.70916334661356% change. The trend is currently declining."
Germany,2023,Media,43.4,75.92,9.64,33.23,42.07,Midjourney,Moderate,87.28,48.39,No description available.,-29.419417791510817,False,"Industry: Media, Year: 2023, AI Adoption Rate: 43.4%, Description: No description available.","In 2023, within the Media sector, the AI usage reached 43.4%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -29.419417791510817% change. The trend is currently declining."
South Korea,2024,Media,25.98,52.9,16.06,11.74,47.03,Claude,Strict,55.83,42.56,No description available.,-40.13824884792626,False,"Industry: Media, Year: 2024, AI Adoption Rate: 25.98%, Description: No description available.","In 2024, within the Media sector, the AI usage reached 25.98%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -40.13824884792626% change. The trend is currently declining."
India,2024,Media,15.2,30.75,45.44,16.62,31.27,Bard,Lenient,61.68,14.0,No description available.,-41.493456505003856,False,"Industry: Media, Year: 2024, AI Adoption Rate: 15.2%, Description: No description available.","In 2024, within the Media sector, the AI usage reached 15.2%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -41.493456505003856% change. The trend is currently declining."
France,2024,Media,23.27,38.75,44.22,67.88,78.13,ChatGPT,Moderate,72.79,13.5,No description available.,53.092105263157904,False,"Industry: Media, Year: 2024, AI Adoption Rate: 23.27%, Description: No description available.","In 2024, within the Media sector, the AI usage reached 23.27%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 53.092105263157904% change. The trend is currently declining."
India,2024,Media,52.18,5.84,36.8,60.81,42.56,Stable Diffusion,Strict,43.6,14.06,No description available.,124.2372152986678,False,"Industry: Media, Year: 2024, AI Adoption Rate: 52.18%, Description: No description available.","In 2024, within the Media sector, the AI usage reached 52.18%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 124.2372152986678% change. The trend is currently declining."
USA,2025,Media,33.23,75.51,12.61,63.58,77.34,DALL-E,Lenient,48.51,4.66,No description available.,-36.31659639708701,False,"Industry: Media, Year: 2025, AI Adoption Rate: 33.23%, Description: No description available.","In 2025, within the Media sector, the AI usage reached 33.23%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -36.31659639708701% change. The trend is currently declining."
France,2025,Media,79.64,87.25,12.32,54.75,82.48,DALL-E,Moderate,49.54,20.17,No description available.,139.66295516099913,False,"Industry: Media, Year: 2025, AI Adoption Rate: 79.64%, Description: No description available.","In 2025, within the Media sector, the AI usage reached 79.64%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 139.66295516099913% change. The trend is currently declining."
USA,2020,Retail,26.12,73.78,21.51,22.63,65.41,Midjourney,Strict,44.56,3.46,No description available.,,False,"Industry: Retail, Year: 2020, AI Adoption Rate: 26.12%, Description: No description available.","In 2020, within the Retail sector, the AI usage reached 26.12%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
South Korea,2020,Retail,12.97,76.22,33.17,75.91,27.28,Bard,Lenient,64.0,35.4,No description available.,-50.34456355283308,False,"Industry: Retail, Year: 2020, AI Adoption Rate: 12.97%, Description: No description available.","In 2020, within the Retail sector, the AI usage reached 12.97%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -50.34456355283308% change. The trend is currently declining."
China,2020,Retail,82.41,77.29,11.75,17.78,33.19,DALL-E,Strict,81.88,24.11,No description available.,535.3893600616807,False,"Industry: Retail, Year: 2020, AI Adoption Rate: 82.41%, Description: No description available.","In 2020, within the Retail sector, the AI usage reached 82.41%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 535.3893600616807% change. The trend is currently declining."
Japan,2020,Retail,19.03,46.6,31.81,47.63,33.97,Claude,Lenient,78.85,19.08,No description available.,-76.9081422157505,False,"Industry: Retail, Year: 2020, AI Adoption Rate: 19.03%, Description: No description available.","In 2020, within the Retail sector, the AI usage reached 19.03%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -76.9081422157505% change. The trend is currently declining."
India,2020,Retail,93.72,27.55,48.33,31.86,75.36,Bard,Moderate,73.23,9.67,No description available.,392.48554913294794,False,"Industry: Retail, Year: 2020, AI Adoption Rate: 93.72%, Description: No description available.","In 2020, within the Retail sector, the AI usage reached 93.72%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 392.48554913294794% change. The trend is currently declining."
USA,2021,Retail,66.95,47.72,0.86,27.58,64.42,ChatGPT,Lenient,68.14,8.09,No description available.,-28.563807084933845,False,"Industry: Retail, Year: 2021, AI Adoption Rate: 66.95%, Description: No description available.","In 2021, within the Retail sector, the AI usage reached 66.95%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -28.563807084933845% change. The trend is currently declining."
Canada,2022,Retail,67.15,65.71,8.92,19.32,40.95,Bard,Lenient,48.1,22.15,No description available.,0.29873039581778116,False,"Industry: Retail, Year: 2022, AI Adoption Rate: 67.15%, Description: No description available.","In 2022, within the Retail sector, the AI usage reached 67.15%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 0.29873039581778116% change. The trend is currently declining."
Australia,2022,Retail,78.6,19.64,1.29,8.47,64.18,ChatGPT,Strict,59.15,13.48,No description available.,17.05137751303052,False,"Industry: Retail, Year: 2022, AI Adoption Rate: 78.6%, Description: No description available.","In 2022, within the Retail sector, the AI usage reached 78.6%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 17.05137751303052% change. The trend is currently declining."
France,2022,Retail,43.32,18.93,22.13,61.74,33.94,Claude,Lenient,69.97,13.22,No description available.,-44.8854961832061,False,"Industry: Retail, Year: 2022, AI Adoption Rate: 43.32%, Description: No description available.","In 2022, within the Retail sector, the AI usage reached 43.32%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -44.8854961832061% change. The trend is currently declining."
USA,2023,Retail,11.94,91.59,26.28,73.93,57.55,Synthesia,Moderate,65.79,29.3,No description available.,-72.43767313019391,False,"Industry: Retail, Year: 2023, AI Adoption Rate: 11.94%, Description: No description available.","In 2023, within the Retail sector, the AI usage reached 11.94%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -72.43767313019391% change. The trend is currently declining."
Australia,2023,Retail,91.41,67.49,6.67,71.61,54.73,ChatGPT,Strict,53.96,29.35,No description available.,665.5778894472362,False,"Industry: Retail, Year: 2023, AI Adoption Rate: 91.41%, Description: No description available.","In 2023, within the Retail sector, the AI usage reached 91.41%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 665.5778894472362% change. The trend is currently declining."
South Korea,2024,Retail,26.63,95.37,49.58,1.75,72.35,Midjourney,Strict,53.62,48.53,No description available.,-70.86751996499288,False,"Industry: Retail, Year: 2024, AI Adoption Rate: 26.63%, Description: No description available.","In 2024, within the Retail sector, the AI usage reached 26.63%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -70.86751996499288% change. The trend is currently declining."
India,2025,Retail,32.74,25.34,9.41,33.42,73.55,DALL-E,Lenient,70.72,19.93,No description available.,22.944048066090893,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 32.74%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 32.74%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 22.944048066090893% change. The trend is currently declining."
Japan,2025,Retail,44.97,43.93,32.93,18.56,24.81,Stable Diffusion,Moderate,54.38,46.37,No description available.,37.35491753207085,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 44.97%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 44.97%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 37.35491753207085% change. The trend is currently declining."
India,2025,Retail,68.21,68.4,9.32,57.89,61.89,Midjourney,Moderate,78.14,41.3,No description available.,51.67889704247275,True,"Industry: Retail, Year: 2025, AI Adoption Rate: 68.21%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 68.21%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 51.67889704247275% change. The trend is currently growing."
USA,2025,Retail,26.57,38.87,16.33,27.7,77.03,Claude,Moderate,76.47,16.73,No description available.,-61.04676733616772,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 26.57%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 26.57%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -61.04676733616772% change. The trend is currently declining."
Japan,2025,Retail,35.91,2.25,48.37,71.07,68.44,Midjourney,Moderate,85.92,33.33,No description available.,35.15242754986825,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 35.91%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 35.91%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 35.15242754986825% change. The trend is currently declining."
India,2025,Retail,33.2,4.31,14.77,66.25,81.74,Stable Diffusion,Moderate,49.0,16.85,No description available.,-7.546644388749635,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 33.2%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 33.2%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -7.546644388749635% change. The trend is currently declining."
USA,2025,Retail,38.21,1.04,36.85,8.52,24.88,Claude,Lenient,39.31,11.84,No description available.,15.09036144578313,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 38.21%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 38.21%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 15.09036144578313% change. The trend is currently declining."
India,2025,Retail,76.35,78.99,3.82,0.73,70.78,Stable Diffusion,Lenient,70.39,45.49,No description available.,99.81680188432345,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 76.35%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 76.35%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 99.81680188432345% change. The trend is currently declining."
France,2025,Retail,29.61,59.56,24.68,46.92,57.21,DALL-E,Moderate,31.7,28.9,No description available.,-61.218074656188605,False,"Industry: Retail, Year: 2025, AI Adoption Rate: 29.61%, Description: No description available.","In 2025, within the Retail sector, the AI usage reached 29.61%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -61.218074656188605% change. The trend is currently declining."
